year,Page_No,state,sentence,jim_crow
1887,1072,SOUTH CAROLINA,"in the senate house, the twentyfourth day of december, in the year of our lord one thousand eight hundred and eightyseven.",0
1887,1072,SOUTH CAROLINA,"w. l. mauldin, president of the senate.",0
1887,1072,SOUTH CAROLINA,"james simons, speaker house of representatives.  approved december 24th, a. d. 1887.7",0
1887,1072,SOUTH CAROLINA,"j. p. richardson, governor.",0
1887,1072,SOUTH CAROLINA,"an act to create a spectal schoon district within the township of seneca, in oconee county, to be knownn 4s tue seneca grapep scnoon.",1
1887,1072,SOUTH CAROLINA,"district, anp atthorize the levy and collection of a local tax therein.",1
1887,1072,SOUTH CAROLINA,1.area of the new school district.,0
1887,1072,SOUTH CAROLINA,2.board of trustees.,0
1887,1072,SOUTH CAROLINA,vacancies.,0
1887,1072,SOUTH CAROLINA,4.powers of the board.,0
1887,1072,SOUTH CAROLINA,officers.,0
1887,1072,SOUTH CAROLINA,6.meetings of the board.,0
1887,1072,SOUTH CAROLINA,7.local school tax.,0
1887,1072,SOUTH CAROLINA,assessment and collection.,0
1887,1072,SOUTH CAROLINA,disbursement of moneys.,0
1887,1072,SOUTH CAROLINA,bec 9.liabllity of treasurer.,0
1887,1072,SOUTH CAROLINA,"10,jurisdiction of school commissioner.",0
1887,1072,SOUTH CAROLINA,repealing clause.,0
1887,1072,SOUTH CAROLINA,12.public act.,0
1887,1072,SOUTH CAROLINA,to go into immediate effect.,0
1887,1072,SOUTH CAROLINA,"be it enacted by the senate and house of representatives of the state of south carolina, now met and sitting in general assembly, and by the authority of the same, that that portion of oconee county in seneca township in the form of a regular octagon having for its centre the intersection of the richmond and danville and the blue ridge railroads, and formed upon two lines extending respectively due north and south and east and west from said centre.",1
1887,1072,SOUTH CAROLINA,"said district included within the town of seneca and extending two and onehalf (24) miles from centre to extreme points of boundary, as represented on map of said district made by j. w. harper on day of july, 1887.",1
1887,1072,SOUTH CAROLINA,"that l. w. jordon, john c. cary, j. w. linley, 8. y. stribling and j. w. stribling be, and they are hereby, con",0
1887,1073,SOUTH CAROLINA,"stituted a board of trustees for the management and control of the schools within said school district, with such powers as are hereinafter conferred.",0
1887,1073,SOUTH CAROLINA,"3. that in the event of a vacancy or vacancies at any time in said board by death, resignation, removal from the school district or from any other cause, the state superintendent of education, upon the recommendation of the remaining members of the board, shall appoint some suitable person or persons to fill said vacancies, and the board thus constituted from time to time shall have all the powers of the original board.",2
1887,1073,SOUTH CAROLINA,4. that the said board of trustees shall have the following powers and duties: ist.,0
1887,1073,SOUTH CAROLINA,to discharge the duties of school trustees.,0
1887,1073,SOUTH CAROLINA,to determine the studies and class books to be used in the schools of said district.,0
1887,1073,SOUTH CAROLINA,"to elect and dismiss the teachers, to fix their salaries, to prescribe their duties and term of office, and to make rules for the government of the school.",2
1887,1073,SOUTH CAROLINA,"to make an annual report of the schools in this district to the superintendent of education on or before the first monday in october in each year, to be forwarded through the office of the school commissioner of oconee county.",0
1887,1073,SOUTH CAROLINA,to take in charge and keep in order all buildings and other property belonging to or used for carrying on the schools of the district herein created.,0
1887,1073,SOUTH CAROLINA,5. that the board of trustees shall elect from its members a chairman and also a secretary and treasurer.,0
1887,1073,SOUTH CAROLINA,"6. that the chairman shall call meetings of the board whenever, in his judgment, it is necessary, or whenever two (2) members of the board shall in writing request him to do so. szc.",0
1887,1073,SOUTH CAROLINA,"7. that said trustees are hereby authorized and empowered, on or before the first day of january in each year, to levy on all real and personal property returned in said school district a local tax not exceeding five (5) mills on the dollar in any one year, to supplement the general tax for the support of schools.",1
1887,1073,SOUTH CAROLINA,"the chairman within one week thereafter shall notify the county auditor of oconee county of the amount of tax thus levied, and the county auditor shall at once assess such tax on allreal and personal property returned in said school district, and the county treasurer of said county shall collect said tax with the other taxes for the same year, and said tax shall be liable to like process and penalties as are state and county taxes, sec.",1
1887,1073,SOUTH CAROLINA,8. that the county treasurer of the county of oconee shall hold all moneys arising from the constitutional school tax,1
1887,1074,SOUTH CAROLINA,"and poll tax to which said district may be entitled, under the general provisions of law or under the provisions of this act, subject to the warrant of the treasurer of the board of trustees of said district.",1
1887,1074,SOUTH CAROLINA,"9. that all moneys received by the county treasurer from the local tax herein provided for shall be protected by the official bond of said treasurer, and shall be paid out only on the warrant of the said treasurer of the board of trustees of said district.",0
1887,1074,SOUTH CAROLINA,10. that the school commissioner of oconee county shall have jurisdiction only over the schools and educational interests of his county not comprised within the corporate limits of the said special school district hereby created under the name of the seneca graded school district.,1
1887,1074,SOUTH CAROLINA,"11. that all acts or parts of acts inconsistent with this act be, and the same are hereby, repealed.",0
1887,1074,SOUTH CAROLINA,"12. that this act shall be deemed a public act, and shall take effect immediately after the date of its passage.",0
1887,1074,SOUTH CAROLINA,"in the senate house, the twentyfourth day of december, in the year of our lord one thousand eight hundred and eightyseven.",0
1887,1074,SOUTH CAROLINA,"w. l. mauldin, president of the senate.",0
1887,1074,SOUTH CAROLINA,"james simons, speaker house of representatives.  approved december 24th, a. d. 1887.",0
1887,1074,SOUTH CAROLINA,"j. p. richardson, governor.",0
1887,1074,SOUTH CAROLINA,an aot relating to the bonns issued by the town of ripge railroad to sarp town.,0
1887,1074,SOUTH CAROLINA,walhalla to aid in the completion of the blue 8xc.,0
1887,1074,SOUTH CAROLINA,1.act of 1880 and bonds issued thereunder validated.,0
1887,1074,SOUTH CAROLINA,annual tax to pay interest.,0
1887,1074,SOUTH CAROLINA,sinking fund.,0
1887,1074,SOUTH CAROLINA,refunding bonds.,0
1887,1074,SOUTH CAROLINA,4.cancellation of bonds.,0
1887,1074,SOUTH CAROLINA,repealing clause.,0
1887,1074,SOUTH CAROLINA,"whereas, on the 24th day of december, 1880, an act entitled an act to authorize the town council of walhalla to issue bonds and negotiate and sell the same, for the purpose of rais",0
