id,law_type,year,state,sentence,length,start_page,end_page,jim_crow,Notes,Labeler
18920000,Acts,1892,SOUTH CAROLINA,AN ACT to CoNSsTITUTE A BATTALION TO BE KNOWN AS THE NAVAL BATTALION OF VOLUNTEER TROOPS OF SOUTH CAROLINA.,109,45,45,0,,Morgan
18920001,Acts,1892,SOUTH CAROLINA," Be tt enacted by the Senate and House of Repre- sentatives of the State of SOUTH CAROLINA, now met and sitting in General Assembly, and by the authority of the same, That there shall be allowed, in addition to the companies of the Vol-t unteer Troops of the State of SOUTH CAROLINA as now provided by law, not more than four companies of Naval Militia, which shall constitute a battalion, to be known as the Naval Battalion of the Volunteer Troops of SOUTH CAROLINA.",477,45,46,0,,Morgan
18920002,Acts,1892,SOUTH CAROLINA,"The officers of this battalion shall consist of a Lieu- tenant Commander, who shall be appointed by the Governor, and whose rank and pay shall assimilate to that of a Major of infantry, and a staff, to consist of one Adjutant, one Ordnance Officer, one Paymaster, who shall be the mustering officer, and one Surgeon, each with the rank of First Lieutenant.",356,46,46,0,,Morgan
18920003,Acts,1892,SOUTH CAROLINA,They shall be paid the same as battalion staffs in the Volunteer Troops.,72,46,46,0,,Morgan
18920004,Acts,1892,SOUTH CAROLINA,"There shall also be attached to the staff the following petty officers: One Master-at-Arms, two Yeomen, one Hospital Steward, one Chief Bugler, who shall receive the same pay as the non-commissioned staff of a battalion of infantry.",232,46,46,0,,Morgan
18920005,Acts,1892,SOUTH CAROLINA," To each company there shall be one Lieutenant Com- manding, two Second Lieutenants, two Ensigns, to receive the same pay as Captain, First and Second Lieutenants, respectively, of infantry ; two Boatswain’s Mates, two Gunner’s Mates, two All H Coxswains, two Quartermasters, and forty-four seamen.",300,46,46,0,,Morgan
18920006,Acts,1892,SOUTH CAROLINA,enlisted men of companies shall receive the pay of enlisted men of companies of infantry of the Volunteer Troops.,113,46,46,0,,Morgan
18920007,Acts,1892,SOUTH CAROLINA,"The Naval Battalion shall be uniformed as the Com- mander-in-Chief shall direct, out of any appropriations for uni- S forms or supplies for the Volunteer Troops or Naval Militia, and shall be instructed as he may direct, and be subject to the laws and regulations governing the Volunteer Troops.",295,46,46,0,,Morgan
18920008,Acts,1892,SOUTH CAROLINA,"Approved December 15th, A. D. 1892. AN ACT RELATING TO THE LANDSFORD CANAL ON CATAWBA RIVER.",92,46,46,0,,Morgan
18920009,Acts,1892,SOUTH CAROLINA,"Be it enacted by the Senate and House of Repre- sentatives of the State of SOUTH CAROLINA, now met and sitting in, General Assembly, and by the authority of the same, That all the rights, title and interest of the State of SOUTH CAROLINA, if any there be, in the canal known as the Landsford Canal, on the West side of the Catawba River, in the County of Chester, with all the appurtenances thereto, be, and the same is hereby, granted and ceded to and vested in William A. Courtenay, the owner of the land on both sides of and adjacent to the said canal, his heirs and assigns forever: Provided, Operations are commenced and the sum of fifty thousand ($50,000) dollars expended towards utilizing the water power of the said canal for manufacturing or other purposes within five years from the approval of this Act.",830,46,47,0,,Morgan
18920010,Acts,1892,SOUTH CAROLINA,2. That this Act shall take effect from and immediately after the date of its approval.,87,47,47,0,,Morgan
18920011,Acts,1892,SOUTH CAROLINA,"Approved December 15th, A. D. 1892. AN ACT to AMEND AN Act ENTITLED “AN Act To AMEND AN Act To AMEND AN AcT ENTITLED ‘AN AcT TO CEDE AND VEsT IN Mrs. Susan A. Boytston ALL THE RIGHT, TITLE AND INTEREST OF THE STATE IN THE PORTION OF THE CANAL ON CATAWBA RIVER WuicH LiEs WITHIN THE BouNDARIES OF THE LAND OF THE SAID SusaN A. BoyYL- STON, IN CHESTER CouNTY,’ APPROVED 31ST OF JANUARY, 1882,’ APPROVED 26TH DECEMBER, 1884,” APPROVED 23RD oF DECEMBER, 1887.",455,47,47,0,,Morgan
18920012,Acts,1892,SOUTH CAROLINA,"Be it enacted by the Senate and House of Repre- sentatives of the State of SOUTH CAROLINA, now met and sitting in General Assembly, and by the authority of the same, That an Act entitled “‘An Act to amend ‘An Act to amend an Act entitled ‘An Act to cede and vest in Mrs, Susan A. Boylston all the right, title and interest of the State in that portion of the canal on Catawba River which lies within the boundaries of the land of the said Susan A. Boylston, in Chester County,’ approved 31st January, 1882,’ approved December 26th, A. D. 1884,” approved December 23rd, A. D. 1887, be, and the same is hereby, amended, by extending the time therein limited for five additional years.",693,47,47,0,,Morgan
18920013,Acts,1892,SOUTH CAROLINA,- AN ACT To PREVENT CRUELTY TO CHILDREN AND TO PROVIDE 4 FOR THE PUNISHMENT OF THE SAME.,88,47,47,0,,Morgan
18920014,Acts,1892,SOUTH CAROLINA,"Be it enacted by the Senate ard House of Repre- sentatives of the State of SOUTH CAROLINA, now met and sitting in General Assembly, and by the authority of the same, That who- ever tortures, torments, cruelly ill treats, or whoever deprives of necessary sustenance or shelter, or whoever inflicts unnecessary pain or suffering, upon any child, or whosoever causes the same to be done, whether such person be the parent or guardian of such child, or have charge or custody of the same, shall for every such offense be deemed guilty of a misdemeanor, and be pun- ished by imprisonment in jail not exceeding thirty (30) days, or by fine not exceeding one hundred ($100) dollars, Sec.",693,47,48,0,,Morgan
18920015,Acts,1892,SOUTH CAROLINA,2. That all the provisions of Chapter LII of the General Statutes in reference to the prevention of cruelty to animals be extended to the enforcement of this Act.,162,48,48,0,,Morgan
18920016,Acts,1892,SOUTH CAROLINA,AN ACT To REQUIRE THE CIRCUIT JUDGES TO GIVE NOTICE TO THE CHIEF JUSTICE OF THEIR INABILITY FROM SICKNESS oR OTHER Cause TO HoLp ANY Court To WHICH THEY HAVE BEEN ASSIGNED.,175,48,48,0,,Morgan
