,id,law_type,state,sentence,length,start_page,end_page,act,section,path,year,predicted_label,jim_crow,
200940,1937_0000,Act,SOUTH CAROLINA,"1. AN ACT Relating to the Sale or Other Disposition of Securities in the State of South Carolina; to Prevent Fraud in the Sale and Disposition of Stocks, Bonds or Other Securities Sold or Offered for Sale Within the State of South Carolina by any Person; to Provide for the Registration of Dealers and Salesmen Engaged in the Business of Selling or Offering for Sale or of Dealing in Securities in the State of South Carolina; to Provide Such Regulation and Supervision Respecting the Sale of Securities and the Business of Selling, Offering for Sale or Dealing in Securities in the State of South Carolina as May be Necessary to Prevent Fraud; to Provide Penalties for Violations Thereof; to Prescribe and Levy License, Registration and Other Fees and Taxes; and to Repeal section 8114 to 8136, Both Inclusive, Code of Laws of South Carolina, 1932, and all Acts or Parts of Acts in Conflict Herewith.",906,61,61,1,1,https://emailsc.sharepoint.com/:i:/r/sites/COTEAM-ULIB-OntheBooks/Shared%20Documents/General/OCRed/1937/images/0061.jpg,1937,0,0,
200941,1937_0001,Act,SOUTH CAROLINA,"Definitions.Be it enacted by the General Assembly of the State of the State of South Carolina: When used in this Act the following terms shall, unless the text otherwise indicates, have the following respective meanings: (1) Security shall include any note, stock, treasury stock, bond, debenture, evidence of indebtedness, certificate of interest or participation or the right to subscribe to any of the foregoing; certificate of interest in a profit sharing agreement; certificate of interest in oil, gas or other mineral rights, leaseholds, property or royalties, fee or title; interests or shares in a patent right, copyright, trademark, process or formula; collateral trust certificate, preorganization certificate, preorganization subscription, any transferable share, investment contract or beneficial interest in title to property, profits or earnings or any other instrument commonly known as a security ; including an interim or temporary bond, debenture, note or certificate, and any certificate of interest or participation in or warrant or right to subscribe to or purchase any security.",1118,61,62,1,1,https://emailsc.sharepoint.com/:i:/r/sites/COTEAM-ULIB-OntheBooks/Shared%20Documents/General/OCRed/1937/images/0061.jpg,1937,0,0,
200942,1937_0002,Act,SOUTH CAROLINA,"(2) Person shall include a natural person, a corporation created under the laws of this or any other state, country, sovereignty, or political subdivision thereof, a partnership, an association, a joint stock company, a trust and any unincorporated organization.",269,62,62,1,1,https://emailsc.sharepoint.com/:i:/r/sites/COTEAM-ULIB-OntheBooks/Shared%20Documents/General/OCRed/1937/images/0062.jpg,1937,0,0,
200943,1937_0003,Act,SOUTH CAROLINA,"As used herein the term trust shall not include a trust created or appointed under or by virtue of a last will and testament, or by a court of law or equity, or any public charitable trust.",196,62,62,1,1,https://emailsc.sharepoint.com/:i:/r/sites/COTEAM-ULIB-OntheBooks/Shared%20Documents/General/OCRed/1937/images/0062.jpg,1937,0,0,
200944,1937_0004,Act,SOUTH CAROLINA,"(3) Sale or Sell shall include every disposition, or attempt to dispose of a security or interest in a security for value.",131,62,62,1,1,https://emailsc.sharepoint.com/:i:/r/sites/COTEAM-ULIB-OntheBooks/Shared%20Documents/General/OCRed/1937/images/0062.jpg,1937,0,0,
200945,1937_0005,Act,SOUTH CAROLINA,"Any security given or delivered with, or as a bonus on account of, any purchase of securities or anyother thing, shall be conclusively presumed to constitute a part of the subject of such purchase and to have been sold for value.",234,62,62,1,1,https://emailsc.sharepoint.com/:i:/r/sites/COTEAM-ULIB-OntheBooks/Shared%20Documents/General/OCRed/1937/images/0062.jpg,1937,0,0,
200946,1937_0006,Act,SOUTH CAROLINA,"Sale or Sell shall also include a contract to sell, an exchange, an attempt to sell, an option of sale, a solicitation of a sale, a subscription or an offer to sell, directly or by an agent, or a circular, letter, advertisement or otherwise; provided, that a privilege pertaining to a security giving the holder the privilege to convert such security into another security of the same issuer shall not be deemed a sale of such other security within the meaning of this definition and such privilege shall not be construed as affecting the status of the security to which such privilege pertains with respect to exemption or registration under the provisions of this Act, but when such privilege of conversion shall be exercised, such conversion shall be subject to the limitations hereinafter provided in subsection (h) of Section 5; and provided further that the issue or transfer of a right pertaining to a security and entitling the holder of such right to subscribe to another security of the same issuer, when such right is issued, or transferred with the security to which it pertains, shall not be deemed a sale of such other security within the meaning of this definition and such right shall not be construed as affecting the status of the security to which such right pertains with respect to exemption or registration under the provisions of this Act; but the sale of such other security upon the exercise of such right shall be subject to the provisions of this Act.",1487,62,63,1,1,https://emailsc.sharepoint.com/:i:/r/sites/COTEAM-ULIB-OntheBooks/Shared%20Documents/General/OCRed/1937/images/0062.jpg,1937,0,0,
200947,1937_0007,Act,SOUTH CAROLINA,"(4) Dealer shall include every person other than a salesman who in this state engages either for all or part of his time directly or through an agent in the business of selling any securities issued by another person or purchasing or otherwise acquiring such securities from another for the purpose of reselling them or of offering them for sale to the public, or offering, buying, selling or otherwise dealing or trading in securities as agent or principal for a commission or at a profit, or who deals in futures or differences in market quotations of prices or values of any securities or accepts margins on purchases or sales or pretended purchases or sale of securities: provided, that the word dealer shall not include a person having no place of business in this state who sells or offers to sell securities exclusively to brokers or dealers actually engaged in buying and selling securities as a business.",922,63,63,1,1,https://emailsc.sharepoint.com/:i:/r/sites/COTEAM-ULIB-OntheBooks/Shared%20Documents/General/OCRed/1937/images/0063.jpg,1937,0,0,
200948,1937_0008,Act,SOUTH CAROLINA,Registered dealer shall mean a dealer registered under the provisions of Section 13 of this Act.,103,63,63,1,1,https://emailsc.sharepoint.com/:i:/r/sites/COTEAM-ULIB-OntheBooks/Shared%20Documents/General/OCRed/1937/images/0063.jpg,1937,0,0,
200949,1937_0009,Act,SOUTH CAROLINA,"(5) Issuer shall mean and include every person who proposes to issue, has issued, or shall hereafter issue any security.",127,63,63,1,1,https://emailsc.sharepoint.com/:i:/r/sites/COTEAM-ULIB-OntheBooks/Shared%20Documents/General/OCRed/1937/images/0063.jpg,1937,0,0,
200950,1937_0010,Act,SOUTH CAROLINA,"Any person who acts as a promoter for and on behalf of a corporation, trust lor unincorporated association or partnership of any kind to be formed shall be deemed to be an issuer.",184,63,63,1,1,https://emailsc.sharepoint.com/:i:/r/sites/COTEAM-ULIB-OntheBooks/Shared%20Documents/General/OCRed/1937/images/0063.jpg,1937,0,0,
200951,1937_0011,Act,SOUTH CAROLINA,"(6) Salesman shall include every natural person, other than a dealer, employed or appointed or authorized by a dealer or issuer to sell securities in any manner in this state.",182,63,63,1,2,https://emailsc.sharepoint.com/:i:/r/sites/COTEAM-ULIB-OntheBooks/Shared%20Documents/General/OCRed/1937/images/0063.jpg,1937,0,0,
200952,1937_0012,Act,SOUTH CAROLINA,The partners of a partnership and the executive officers of a corporation or other association registered as a dealer shall not be salesmen within the meaning of this definition.,183,63,63,1,2,https://emailsc.sharepoint.com/:i:/r/sites/COTEAM-ULIB-OntheBooks/Shared%20Documents/General/OCRed/1937/images/0063.jpg,1937,0,0,
200953,1937_0013,Act,SOUTH CAROLINA,(7) Broker shall mean dealer as herein defined.,54,63,63,1,2,https://emailsc.sharepoint.com/:i:/r/sites/COTEAM-ULIB-OntheBooks/Shared%20Documents/General/OCRed/1937/images/0063.jpg,1937,0,0,
200954,1937_0014,Act,SOUTH CAROLINA,(8) Agent shall mean salesman as herein defined.,55,63,63,1,2,https://emailsc.sharepoint.com/:i:/r/sites/COTEAM-ULIB-OntheBooks/Shared%20Documents/General/OCRed/1937/images/0063.jpg,1937,0,0,
200955,1937_0015,Act,SOUTH CAROLINA,(9) Commissioner shall mean the Commissioner of Securities as provided in Section 2 of this Act.,103,63,63,1,2,https://emailsc.sharepoint.com/:i:/r/sites/COTEAM-ULIB-OntheBooks/Shared%20Documents/General/OCRed/1937/images/0063.jpg,1937,0,0,
200956,1937_0016,Act,SOUTH CAROLINA,(10) Mortgage shall be deemed to include any trust instrument to secure a debt.,86,63,64,1,2,https://emailsc.sharepoint.com/:i:/r/sites/COTEAM-ULIB-OntheBooks/Shared%20Documents/General/OCRed/1937/images/0063.jpg,1937,0,0,
200957,1937_0017,Act,SOUTH CAROLINA,"(11) Fraud or Fraudulent practice shall mean and include any misrepresentation, in any manner, of a material fact, such misrepresentation being intentional or due to gross negligence; any promise or representation or prediction as to the future not made honestly and in good faith; or the intentional failure to disclose a material fact: Provided, However, That nothing herein shall limit or diminish the full meaning of the terms fraud, Fraudulent or Fraudulent practice as applied or accepted in courts of law or equity.",537,64,64,1,2,https://emailsc.sharepoint.com/:i:/r/sites/COTEAM-ULIB-OntheBooks/Shared%20Documents/General/OCRed/1937/images/0064.jpg,1937,0,0,
200958,1937_0018,Act,SOUTH CAROLINA,"CommissionerThe administration of this Act shall be vested in the Insurance Commissioner of the State of South Carolina, who, for the purposes of this Act, is hereafter called Commissioner.",194,64,64,1,2,https://emailsc.sharepoint.com/:i:/r/sites/COTEAM-ULIB-OntheBooks/Shared%20Documents/General/OCRed/1937/images/0064.jpg,1937,0,0,
200959,1937_0019,Act,SOUTH CAROLINA,"Powers and duties of commissioner.The Commissioner shall be vested with the powers and duties provided in this Act, including: 1.",134,64,64,1,3,https://emailsc.sharepoint.com/:i:/r/sites/COTEAM-ULIB-OntheBooks/Shared%20Documents/General/OCRed/1937/images/0064.jpg,1937,0,0,
200960,1937_0020,Act,SOUTH CAROLINA,The power to administer oaths.,35,64,64,1,3,https://emailsc.sharepoint.com/:i:/r/sites/COTEAM-ULIB-OntheBooks/Shared%20Documents/General/OCRed/1937/images/0064.jpg,1937,0,0,
