year,state,act,jim_crow
1879,South Carolina,AN ACT to PREVENT AND PunisH THE INTERMARRYING OF Races.,1
1879,South Carolina,Section 1.,0
1879,South Carolina,"Be it enacted by the Senate and House of Repre- sentatives of the State of South Carolina, now met and sitting in General Assembly, and by the authority of the same, That from and after the passage of this Act it shall be unlawful for any white man to intermarry with any woman of either the Indian or negro races, or any mulatto, mestizoe or half breed, or for any white woman to intermarry with any person other than a white man, or for any mulatto, half breed, negro, Indian or mestizoe to intermarry with a white woman, and any such marriage, or attempted mar- riage, shall be utterly and void and of none effect.",1
1879,South Carolina,Sec. 2.,0
1879,South Carolina,"Any person who shall violate the first Section of this Act or any one of the provisions thereof shall be guilty of a misde- meanor, and, on conviction thereof, shall be punished by a fine o not less than five hundred dollars or imprisonment for not less than twelve months, or both, in the discretion of the Court.",1
1879,South Carolina,Src. 3.,0
1879,South Carolina,"That any clergyman, minister of the gospel, Magistrate or other person authorized by law to perform the marriage cere- mony who shall knowingly and willfully unite in the bonds of matri- mony any persons of different races, as above prohibited, shall be guilty of a misdemeanor, and, upon conviction thereof, shall be liable to the same penalty or penalties provided in the preceding Section.",1
1879,South Carolina,"Approved December 12, 1879.",0
1898,South Carolina,"AN ACT to require all railroads and railroad companies oper: trains and doing business in this State to provide and op seperate coaches, or separate apartments in coaches, fo accommodation and transportation of white and colored pa: gers in the State.",1
1898,South Carolina,Secriox 1.,0
1898,South Carolina,"Be it enacted by the Gencral Assembly of State of South Carolina, That all railroads or railroad panies engaged in this State as common carriers of pas gers fer hire shall furnish separate apartments in first- coaches or separate first coaches for the accommodatio white and colored passengers: Provided, Equal accor dation shall be supplied to all persons, without distin of race, color or previous condition, in such coaches.",1
1898,South Carolina,"Section 2. That any first-class coach of such carrier of passengers may be divided into apartments, separated by a substantial partition, in lieu of separate coaches.",1
1898,South Carolina,"Section 3. That should any railroad or railroad company, its agents or employees, violate the provisions of this Act.",1
1898,South Carolina,"such railroad or railroad company shall be liable to a pen- alty of not more than five hundred dollars nor less than three hundred dollars for each violation, to be collected by suit of any citizen of this State, and the penalty recovered shall after paying all proper fees and costs go into the gene rai fund dof the State Treasury.",1
1898,South Carolina,"Secrion 4, That the provisions of this Act shall not apply to nurses on trains, nor to narrow guage roads, or to relief trains in case of accident, or to through vestibule trains, nor to oflicers or guards transporting prisoners, nor to prisoners being so transported.",1
1898,South Carolina,"Section 5. That in case the coach for either white or col- ored passengers should be full of passengers and another coach cannot be procured at the time, then the conductor in charge of the train shall be, and he is hereby, authorized to set apart so much of the other coach as may be necessary to accommodate the passengers on said train.",1
1898,South Carolina,Section 6. That there shall be in addition to the first- class coaches provided for in this Act a second-class car in which it shall be lawful for any and all persons to ride by paying second-class fare or having a second-chass ticket.,1
1898,South Carolina,"Srecrion 7. That the provisions of this Act shall not go into effect until September 1st, 1898.",0
1898,South Carolina,"Secrion 8 That all Acts and parts of Acts inconsistent with this Act are hereby repealed: Provided, That nothing in this Act shall prevent the railroads of the State from attaching passenger coaches to freight trains.",0
1898,South Carolina,The provi- sions of this Act shall not apply to roads under forty miles in length.,1
1898,South Carolina,"Approved the 19th day of February, A. D. 1898.",0
1900,South Carolina,AN ACT To EstTaAsLisH A REFORMATORY IN CONNECTION WITH THE STATE PENITENTIARY.,0
